City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,East London,ZA,69.42,light rain,-33.0153,27.9116,Tu Casa
4,Mount Gambier,AU,58.91,overcast clouds,-37.8333,140.7667,The Commodore
7,Sao Felix Do Xingu,BR,74.57,moderate rain,-6.6447,-51.995,Rio Xingu Camping
11,Ushuaia,AR,55.06,light rain,-54.8,-68.3,Albatros Hotel
13,Punta Arenas,CL,57.31,scattered clouds,-53.15,-70.9167,Hotel Hain
14,Pangkalanbuun,ID,73.96,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
15,Bluff,NZ,66.79,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
17,Ponta Delgada,PT,64.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
22,Bredasdorp,ZA,56.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
39,Airai,TL,63.01,overcast clouds,-8.9266,125.4092,Juvinal Martin
40,Guerrero Negro,MX,74.75,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
43,Cape Town,ZA,63.01,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
44,Dwarka,IN,70.65,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
47,Ponta Do Sol,PT,65.71,scattered clouds,32.6667,-17.1,Hotel do Campo
51,Mataura,NZ,66.47,scattered clouds,-46.1927,168.8643,Ellie's Villa
52,Hobart,AU,64.06,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
53,Sakakah,SA,62.17,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
55,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
56,Khakhea,BW,73.72,light rain,-24.6895,23.494,
58,Isiro,CD,66.27,moderate rain,2.7739,27.616,Guest House Hewa Bora
62,North Bend,US,60.93,haze,43.4065,-124.2243,Red Lion Hotel Coos Bay
64,Kerrville,US,74.55,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
65,Portland,US,66.47,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
66,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
67,Lukang,TW,61.07,overcast clouds,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
68,Port Alfred,ZA,68.0,broken clouds,-33.5906,26.891,The Halyards Hotel
74,Saint George,US,71.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
76,Nelson Bay,AU,74.1,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
87,Codrington,AU,61.59,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
91,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Constitucion,CL,59.27,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
98,Hermanus,ZA,60.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
101,Bam,IR,58.87,few clouds,29.106,58.357,Bam Tourist Hotel
103,Tuatapere,NZ,66.81,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
106,Cidreira,BR,67.06,few clouds,-30.1811,-50.2056,Hotel Castelo
115,Awjilah,LY,61.29,overcast clouds,29.1081,21.2869,
119,Kapit,MY,71.71,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
121,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
