City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Patricio,US,28.017,-97.5169,82.81,53,97,2.55,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,76.33,70,0,17.2,clear sky
2,Arman,RU,59.7,150.1667,5.02,88,100,19.46,light snow
3,East London,ZA,-33.0153,27.9116,69.42,88,90,11.86,light rain
4,Mount Gambier,AU,-37.8333,140.7667,58.91,88,90,10.36,overcast clouds
5,Bathsheba,BB,13.2167,-59.5167,83.01,74,20,19.57,few clouds
6,Rosarito,MX,32.3333,-117.0333,89.4,51,55,5.57,broken clouds
7,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.57,94,97,1.63,moderate rain
8,Ilulissat,GL,69.2167,-51.1,31.78,90,100,10.74,snow
9,Qaanaaq,GL,77.484,-69.3632,4.8,78,18,4.29,few clouds
10,Kapaa,US,22.0752,-159.319,82.72,74,20,1.99,moderate rain
11,Ushuaia,AR,-54.8,-68.3,55.06,41,40,18.41,light rain
12,Santa Quiteria Do Maranhao,BR,-3.5156,-42.5467,82.42,69,86,9.44,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,57.31,33,40,24.16,scattered clouds
14,Pangkalanbuun,ID,-2.6833,111.6167,73.96,94,96,2.55,overcast clouds
15,Bluff,NZ,-46.6,168.3333,66.79,73,15,2.04,few clouds
16,Penzance,GB,50.1186,-5.5371,47.77,75,88,26.4,light rain
17,Ponta Delgada,PT,37.7333,-25.6667,64.51,82,40,6.91,scattered clouds
18,Busselton,AU,-33.65,115.3333,48.09,81,34,10.02,scattered clouds
19,Bethel,US,41.3712,-73.414,45.48,59,1,3.44,clear sky
20,Severo-Yeniseyskiy,RU,60.3725,93.0408,14.14,91,100,9.8,overcast clouds
21,Provideniya,RU,64.3833,-173.3,-3.64,59,0,2.24,clear sky
22,Bredasdorp,ZA,-34.5322,20.0403,56.28,65,98,7.2,overcast clouds
23,Trzebiatow,PL,54.0615,15.2648,46.67,73,100,32.59,overcast clouds
24,Upernavik,GL,72.7868,-56.1549,26.13,86,100,9.98,light snow
25,Fort Nelson,CA,58.8053,-122.7002,-6.21,71,20,0.0,few clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,80.56,78,64,10.22,broken clouds
27,Mehamn,NO,71.0357,27.8492,33.98,80,75,27.63,shower snow
28,Otradnoye,RU,59.7775,30.8181,21.25,98,51,3.51,broken clouds
29,Kirakira,SB,-10.4544,161.9205,84.51,71,83,4.21,broken clouds
30,Vaini,TO,-21.2,-175.2,84.36,79,40,12.66,scattered clouds
31,Georgetown,MY,5.4112,100.3354,78.73,90,40,3.44,light rain
32,Mahebourg,MU,-20.4081,57.7,77.29,78,40,4.61,scattered clouds
33,Flin Flon,CA,54.7682,-101.865,12.04,79,90,6.91,light snow
34,Thompson,CA,55.7435,-97.8558,1.56,78,90,12.66,light snow
35,Husavik,IS,66.0449,-17.3389,15.71,90,100,13.11,overcast clouds
36,Pevek,RU,69.7008,170.3133,-5.28,94,100,8.48,overcast clouds
37,Merauke,ID,-8.4667,140.3333,78.13,91,100,9.4,overcast clouds
38,Cayenne,GF,4.9333,-52.3333,82.44,84,20,3.0,few clouds
39,Airai,TL,-8.9266,125.4092,63.01,79,100,0.81,overcast clouds
40,Guerrero Negro,MX,27.9769,-114.0611,74.75,47,0,10.07,clear sky
41,Lakatoro,VU,-16.0999,167.4164,83.73,71,23,5.7,few clouds
42,Vieques,PR,18.425,-65.8329,85.62,70,40,13.8,scattered clouds
43,Cape Town,ZA,-33.9258,18.4232,63.01,63,40,16.11,scattered clouds
44,Dwarka,IN,22.2394,68.9678,70.65,79,63,11.95,broken clouds
45,Barrow,US,71.2906,-156.7887,-12.98,70,75,10.36,broken clouds
46,Jawa,JO,31.8525,35.9393,52.11,82,40,8.05,light intensity drizzle
47,Ponta Do Sol,PT,32.6667,-17.1,65.71,72,29,6.87,scattered clouds
48,Nevel,RU,56.0209,29.9284,21.4,97,95,5.53,overcast clouds
49,Albany,US,42.6001,-73.9662,38.68,68,97,2.42,overcast clouds
50,Linxia,CN,35.6003,103.2064,22.48,72,25,2.8,scattered clouds
51,Mataura,NZ,-46.1927,168.8643,66.47,49,28,0.36,scattered clouds
52,Hobart,AU,-42.8794,147.3294,64.06,81,75,1.01,broken clouds
53,Sakakah,SA,29.9697,40.2064,62.17,63,100,12.17,overcast clouds
54,Avarua,CK,-21.2078,-159.775,82.45,78,40,16.11,light rain
55,Mar Del Plata,AR,-38.0023,-57.5575,62.62,74,0,17.0,clear sky
56,Khakhea,BW,-24.6895,23.494,73.72,57,89,10.11,light rain
57,Saint Anthony,US,45.0205,-93.218,52.3,69,1,1.99,clear sky
58,Isiro,CD,2.7739,27.616,66.27,98,79,1.3,moderate rain
59,Muroto,JP,33.2833,134.15,33.84,60,18,7.96,few clouds
60,Makasar,ID,-5.14,119.4221,75.25,94,20,2.3,few clouds
