City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2021-11-23 21:02:33,-24.7911,-50.0119,76.37,48,36,4.16
1,Mar Del Plata,AR,2021-11-23 21:02:09,-38.0023,-57.5575,62.87,84,28,18.01
2,Port Alfred,ZA,2021-11-23 21:02:33,-33.5906,26.891,62.73,65,88,18.5
3,Bengkulu,ID,2021-11-23 21:00:00,-3.8004,102.2655,74.66,86,100,3.38
4,Mackay,AU,2021-11-23 21:02:34,-21.15,149.2,79.05,77,100,6.15
5,Busselton,AU,2021-11-23 21:02:35,-33.65,115.3333,52.05,82,0,8.12
6,Rio Grande,BR,2021-11-23 21:02:35,-32.035,-52.0986,64.8,61,0,14.27
7,Anadyr,RU,2021-11-23 21:02:36,64.75,177.4833,-17.9,82,56,8.01
8,Les Cayes,HT,2021-11-23 21:02:36,18.2,-73.75,82.85,65,71,4.36
9,Aldan,RU,2021-11-23 21:02:37,58.6031,125.3894,-12.06,99,100,1.25
10,Quatre Cocos,MU,2021-11-23 21:02:37,-20.2078,57.7625,72.09,76,48,8.34
11,Nipawin,CA,2021-11-23 21:02:38,53.3668,-104.0009,30.24,93,90,11.5
12,Portobelo,PA,2021-11-23 21:02:39,9.55,-79.65,75.96,90,100,6.33
13,Pallasovka,RU,2021-11-23 21:02:39,50.05,46.8833,28.0,62,100,10.38
14,Kaitangata,NZ,2021-11-23 21:02:40,-46.2817,169.8464,56.79,59,100,5.95
15,Tuktoyaktuk,CA,2021-11-23 21:02:40,69.4541,-133.0374,-4.4,96,100,2.77
16,Ushuaia,AR,2021-11-23 20:58:14,-54.8,-68.3,47.82,70,90,8.05
17,Tiksi,RU,2021-11-23 21:02:41,71.6872,128.8694,-20.36,97,61,6.82
18,Barrow,US,2021-11-23 21:02:41,71.2906,-156.7887,-0.38,78,90,3.44
19,Qaanaaq,GL,2021-11-23 21:02:43,77.484,-69.3632,-6.23,66,81,9.73
20,Saint-Philippe,RE,2021-11-23 21:02:43,-21.3585,55.7679,73.22,78,58,9.8
21,Port Elizabeth,ZA,2021-11-23 21:02:43,-33.918,25.5701,59.09,61,62,13.47
22,Yellowknife,CA,2021-11-23 21:01:00,62.456,-114.3525,-12.59,95,100,3.0
23,Haines Junction,CA,2021-11-23 21:02:44,60.7522,-137.5108,3.47,92,100,1.25
